model,coding,agentic
"HyperNova 60B 2605 (high, based on gpt-oss-120b)",23.23,2.66
Inkling (xhigh),52.06,24.32
Inkling Small,52.95,24.95
KAT Coder Pro V2,59.46,
Kimi K2.7 Code,60.76,22.49
Kimi K3 (low),71.98,30.71
Kimi K3 (max),76.24,50.65
Ling 3.0 Flash,50.65,20.97
Llama 3.3 Instruct 70B,11.93,
Llama 4 Maverick,16.28,0.62
Llama 4 Scout,8.17,0.55
LongCat 2.0,45.26,15.92
Magistral Small 1.2,14.72,
Mercury 2,31.11,4.02
MiMo-V2.5,56.8,17.36
MiMo-V2.5-Pro,60.19,22.67
MiniMax-M3,58.57,30.84
Ministral 3 14B,14.36,1.1
Ministral 3 3B,4.78,0.79
Ministral 3 8B,9.69,0.62
Mistral Large 3,20.07,2.44
Mistral Medium 3.5,46.9,9.35
Mistral Small 4 (Reasoning),26.64,1.44
Muse Glimmer (high),49.0,10.46
Muse Spark 1.2 (xhigh),72.22,43.96
Muse Spark 1.3 (max),75.78,55.71
Muse Spark 1.3 (xhigh),76.45,51.83
NVIDIA Nemotron 3 Nano 30B A3B (Reasoning),14.37,1.0
Nemotron 3 Nano Omni 30B A3B Reasoning,13.75,
Nemotron 3 Super 120B A12B (Reasoning),37.72,4.13
Nemotron 3 Ultra 550B A55B (Reasoning),49.27,21.68
Nemotron 3.5 Lightning,26.76,6.14
Nex-N2-Pro,59.12,
Nova 2.0 Lite (high),23.04,
Nova 2.0 Pro Preview (Non-reasoning),20.86,
Nova 2.0 Pro Preview (low),25.87,
Nova 2.0 Pro Preview (medium),33.96,
"Quasar 438B (max, based on GLM-5.2)",61.2,32.68
Qwen3 Coder Next,36.23,3.63
Qwen3 Next 80B A3B (Reasoning),17.42,
Qwen3.5 122B A10B (Non-reasoning),43.34,
Qwen3.5 122B A10B (Reasoning),45.71,9.63
Qwen3.5 35B A3B (Non-reasoning),36.98,
Qwen3.5 397B A17B (Reasoning),48.21,10.56
Qwen3.5 4B (Non-reasoning),20.33,
Qwen3.5 4B (Reasoning),22.6,
Qwen3.5 9B (Non-reasoning),23.46,
Qwen3.5 9B (Reasoning),28.66,
Qwen3.6 27B (Non-reasoning),46.63,
Qwen3.6 27B (Reasoning),53.72,20.07
Qwen3.6 35B A3B (Non-reasoning),28.14,
Qwen3.6 35B A3B (Reasoning),41.88,15.02
Qwen3.7 Plus,55.86,19.67
Qwen3.8 2.4T A95B,71.89,50.44
Qwen3.8 27B (Non-reasoning),44.59,
Qwen3.8 27B (low),58.22,39.86
Qwen3.8 27B (medium),56.14,
Qwen3.8 27B (xhigh),68.08,46.51
Qwen3.8 Max,71.81,49.59
Qwen3.8-Flash-Next,73.05,
Ring-2.6-1T,42.83,12.9
Solar Pro 3,16.21,1.44
Solar Pro 4,52.75,
Step 3.7 Flash,39.57,
Trinity Large Thinking,25.77,1.16
gpt-oss-120b (high),30.44,6.21
gpt-oss-120b (low),21.24,
gpt-oss-20b (high),20.7,1.4
