name,family,params_b,active_b,context_k,quality,license,tags,moe,quality_estimated,coding,agentic,omniscience
Qwen3.5 122B A10B (Reasoning),Alibaba,125.0,10.0,262,16.19,Apache 2.0,"vision,reasoning",True,False,45.71,9.63,-41.5
MiMo-V2-Flash (Non-reasoning),Xiaomi,309.0,15.0,256,16.05,MIT,,True,True,49.84,,-48.45
Gemma 4 31B (Reasoning),Google,30.7,30.7,256,15.42,Apache 2.0,"vision,reasoning",False,False,43.43,6.73,-47.93
Qwen3.6 35B A3B (Non-reasoning),Alibaba,36.0,3.0,262,15.23,Apache 2.0,vision,True,True,28.14,,-60.02
Qwen3.5 35B A3B (Non-reasoning),Alibaba,36.0,3.0,262,15.12,Apache 2.0,vision,True,True,36.98,,-63.02
Mistral Medium 3.5,Mistral,128.0,128.0,256,14.89,Modified MIT License,"vision,reasoning",False,False,46.9,9.35,-36.8
Granite 4.2 30B,IBM,30.0,30.0,131,14.83,Apache 2.0,reasoning,False,True,29.92,,-12.92
K-EXAONE (Reasoning),LG AI Research,236.0,23.0,256,14.37,K Exaone,reasoning,True,True,32.11,,-57.97
Gemma 4 12B (Reasoning),Google,12.0,12.0,256,14.18,Apache 2.0,"vision,audio,reasoning",False,True,30.96,,-52.72
Command A+,Cohere,218.0,25.0,192,13.92,Apache 2.0,"vision,reasoning",True,False,27.85,3.63,-4.02
Gemma 4 31B (Non-reasoning),Google,30.7,30.7,256,13.92,Apache 2.0,vision,False,True,33.17,,-51.68
Qwen3.5 9B (Reasoning),Alibaba,9.65,9.65,262,13.65,Apache 2.0,"vision,reasoning",False,True,28.66,,-53.47
Nemotron 3.5 Lightning,NVIDIA,31.6,3.6,1000,13.64,OpenMDW-1.1,reasoning,True,False,26.76,6.14,-17.72
Nemotron 3 Super 120B A12B (Reasoning),NVIDIA,120.6,12.7,1000,13.55,Nvidia Nemotron Open Model License,reasoning,True,False,37.72,4.13,-41.5
Apriel-v1.6-15B-Thinker,ServiceNow,15.0,15.0,128,13.4,MIT,"vision,reasoning",False,True,,,-59.37
Qwen3.5 9B (Non-reasoning),Alibaba,9.65,9.65,262,13.27,Apache 2.0,vision,False,True,23.46,,-70.7
EXAONE 4.5 33B,LG AI Research,34.4,34.4,262,13.21,EXAONE AI Model License Agreement 1.2 - NC,"vision,reasoning",False,True,23.57,,-50.72
MiniCPM5-2B,OpenBMB,2.6,2.6,131,13.14,Apache 2.0,reasoning,False,False,14.5,8.95,-11.65
Gemma 4 26B A4B (Non-reasoning),Google,25.2,3.8,256,13.13,Apache 2.0,vision,True,True,,,-62.32
Qwen3.5 4B (Reasoning),Alibaba,4.66,4.66,262,13.12,Apache 2.0,"vision,reasoning",False,True,22.6,,-58.35
North Mini Code,Cohere,30.0,3.0,256,12.84,Apache 2.0,"reasoning,code",True,True,36.45,1.07,-48.58
gpt-oss-120b (high),OpenAI,117.0,5.1,131,12.35,Apache 2.0,reasoning,True,False,30.44,6.21,-49.25
Ling 3.0 Tiny,InclusionAI,7.9,1.3,262,11.87,Mit,reasoning,True,False,26.54,7.06,-19.35
Granite 4.2 8B,IBM,8.0,8.0,131,11.81,Apache 2.0,reasoning,False,False,22.38,3.71,-17.17
"HyperNova 60B 2605 (high, based on gpt-oss-120b)",Multiverse Computing,58.7,4.8,131,11.74,Apache 2.0,reasoning,True,True,23.23,2.66,-54.58
Nemotron Cascade 2 30B A3B,NVIDIA,31.6,3.0,1000,11.67,Nvidia Open Model License,reasoning,True,True,25.35,,-51.47
K2 Think V2,MBZUAI Institute of Foundation Models,70.0,70.0,262,11.5,Apache 2.0,reasoning,False,True,20.98,,-40.33
LongCat Flash Lite,LongCat,68.5,3.0,256,11.47,MIT,,True,True,,,-70.07
Mistral Small 4 (Reasoning),Mistral,119.0,6.5,256,11.45,Apache 2.0,"vision,reasoning",True,False,26.64,1.44,-30.4
HyperCLOVA X SEED Think (32B),Naver,32.0,32.0,128,11.36,HyperCLOVA X SEED 32B Think Model License Agreement,"vision,reasoning",False,True,,,-53.28
K-EXAONE (Non-reasoning),LG AI Research,236.0,23.0,256,11.21,K Exaone,,True,True,,,-65.4
Qwen3 Next 80B A3B (Reasoning),Alibaba,80.0,3.0,262,11.2,Apache 2.0,reasoning,True,True,17.42,,-51.42
Trinity Large Thinking,Arcee AI,399.0,13.0,512,10.88,Apache 2.0,reasoning,True,False,25.77,1.16,-44.07
G9v3-3B,AI9Stars,3.0,3.0,131,10.84,Apache 2.0,reasoning,False,True,9.9,,-4.37
Qwen3.5 4B (Non-reasoning),Alibaba,4.66,4.66,262,10.81,Apache 2.0,vision,False,True,20.33,,-74.73
INTELLECT-3,Prime Intellect,107.0,12.0,131,10.61,MIT,reasoning,True,True,,,-50.85
Solar Open 100B (Reasoning),Upstage,102.0,12.0,128,10.36,Upstage Solar License,reasoning,True,True,,,-54.5
Nemotron 3 Nano Omni 30B A3B Reasoning,NVIDIA,30.0,3.0,256,10.25,NVIDIA Open Model License Agreement,"vision,audio,reasoning",True,True,13.75,,-57.43
gpt-oss-120b (low),OpenAI,117.0,5.1,131,10.21,Apache 2.0,reasoning,True,True,21.24,,-53.5
Qwen3 Coder Next,Alibaba,79.7,3.0,256,10.05,Apache 2.0,code,True,False,36.23,3.63,-62.4
gpt-oss-20b (low),OpenAI,21.0,3.6,131,9.95,Apache 2.0,reasoning,True,True,,,-58.55
K2-V2 (high),MBZUAI Institute of Foundation Models,70.0,70.0,512,9.87,Apache 2.0,reasoning,False,True,,,-55.58
Mistral Large 3,Mistral,675.0,41.0,256,9.71,Apache 2.0,vision,True,False,20.07,2.44,-39.57
Qwen3 Next 80B A3B Instruct,Alibaba,80.0,3.0,262,9.64,Apache 2.0,,True,True,,,-59.5
DiffusionGemma 26B A4B,Google,25.2,3.8,256,9.51,Apache 2.0,"vision,reasoning",True,True,19.66,,-59.23
Devstral 2,Mistral,125.0,125.0,256,9.41,Modified MIT License,,False,False,31.26,4.9,-46.7
Gemma 4 12B (Non-reasoning),Google,12.0,12.0,262,9.38,Apache 2.0,"vision,audio",False,True,,,-52.8
Llama 4 Maverick,Meta,402.0,17.0,1000,9.3,LLAMA 4 COMMUNITY LICENSE AGREEMENT,vision,True,False,16.28,0.62,-41.85
Granite 4.2 3B,IBM,3.0,3.0,131,9.06,Apache 2.0,reasoning,False,False,17.53,0.93,-14.72
gpt-oss-20b (high),OpenAI,21.0,3.6,131,9.04,Apache 2.0,reasoning,True,False,20.7,1.4,-63.05
K2-V2 (medium),MBZUAI Institute of Foundation Models,70.0,70.0,512,9.02,Apache 2.0,reasoning,False,True,,,-49.0
Llama Nemotron Super 49B v1.5 (Reasoning),NVIDIA,49.0,49.0,128,9.01,NVIDIA Open Model License Agreement,reasoning,False,True,,,-47.6
Tri-21B-Think,Trillion Labs,21.0,21.0,32,8.99,Apache 2.0,reasoning,False,True,,,-62.55
Mistral Small 4 (Non-reasoning),Mistral,119.0,6.5,256,8.99,Apache 2.0,vision,True,True,,,-48.52
Gemma 4 E4B (Reasoning),Google,8.0,4.5,128,8.91,Apache 2.0,"vision,audio,reasoning",True,True,9.39,,-19.7
NVIDIA Nemotron 3 Nano 30B A3B (Reasoning),NVIDIA,31.6,3.6,1000,8.9,Nvidia Nemotron Open Model License,reasoning,True,False,14.37,1.0,-51.57
MiniCPM5-1B (Reasoning),OpenBMB,1.0,1.0,128,8.8,Apache 2.0,reasoning,False,True,,,-14.62
Sarvam 105B (high),Sarvam,106.0,10.3,128,8.79,Apache 2.0,reasoning,True,True,,,-59.38
MiniCPM5-1B (Non-reasoning),OpenBMB,1.0,1.0,128,8.69,apache-2.0,,False,True,,,-0.8
Magistral Small 1.2,Mistral,24.0,24.0,128,8.59,Apache 2.0,"vision,reasoning",False,True,14.72,,-65.1
Nanbeige4.1-3B,Nanbeige,3.93,3.93,256,8.4,Apache 2.0,reasoning,False,True,9.62,,-42.5
LFM2.5-2.6B,Liquid AI,2.7,2.7,128,8.39,lfm 1.0,reasoning,False,True,7.74,,-10.95
Devstral Small 2,Mistral,24.0,24.0,256,8.36,Apache 2.0,vision,False,False,29.33,4.78,-57.7
EXAONE 4.0 32B (Reasoning),LG AI Research,32.0,32.0,131,8.18,EXAONE AI Model License Agreement 1.2 - NC,reasoning,False,True,,,-60.07
Hermes 4 - Llama-3.1 70B (Reasoning),Nous Research,70.6,70.6,128,7.91,META LLAMA 3 COMMUNITY LICENSE AGREEMENT,reasoning,False,True,,,-49.37
Falcon-H1R-7B,TII UAE,7.0,7.0,256,7.83,Falcon Mamba 7B TII License Version 1.0,reasoning,False,True,,,-61.3
Gemma 4 E2B (Reasoning),Google,5.1,2.3,128,7.77,Apache 2.0,"vision,audio,reasoning",True,True,7.23,,-23.58
Qwen3 Omni 30B A3B (Reasoning),Alibaba,35.3,3.0,66,7.76,Apache 2.0,"vision,audio,reasoning",True,True,,,-61.4
Step3 VL 10B,StepFun,10.2,10.2,66,7.69,Apache 2.0,"vision,reasoning",False,True,,,-59.0
Llama 3.3 Instruct 70B,Meta,70.0,70.0,128,7.66,LLAMA 3.3 COMMUNITY LICENSE AGREEMENT,,False,True,11.93,,-54.17
Llama 3.1 Nemotron Ultra 253B v1 (Reasoning),NVIDIA,253.0,253.0,128,7.53,NVIDIA Open Model License Agreement,reasoning,False,True,,,-44.87
ERNIE 4.5 300B A47B,Baidu,300.0,47.0,131,7.5,Apache 2.0,,True,True,,,-35.13
Hermes 4 - Llama-3.1 405B (Reasoning),Nous Research,406.0,406.0,128,7.49,META LLAMA 3 COMMUNITY LICENSE AGREEMENT,reasoning,False,True,,,-36.02
NVIDIA Nemotron Nano 12B v2 VL (Reasoning),NVIDIA,13.2,13.2,128,7.48,Nvidia Open Model License,"vision,reasoning",False,True,,,-64.23
Gemma 4 E4B (Non-reasoning),Google,8.0,4.5,128,7.46,Apache 2.0,"vision,audio",True,True,,,-40.98
Granite 4.1 30B,IBM,30.0,30.0,131,7.44,Apache 2.0,,False,True,10.35,,-67.78
NVIDIA Nemotron Nano 9B V2 (Reasoning),NVIDIA,9.0,9.0,131,7.43,NVIDIA Open Model License Agreement,reasoning,False,True,,,-41.55
Hermes 4 - Llama-3.1 405B (Non-reasoning),Nous Research,406.0,406.0,128,7.41,META LLAMA 3 COMMUNITY LICENSE AGREEMENT,,False,True,,,-33.28
NVIDIA Nemotron 3 Nano 4B,NVIDIA,3.97,3.97,262,7.38,Nvidia Nemotron Open Model License,reasoning,False,True,7.98,,-70.53
Llama Nemotron Super 49B v1.5 (Non-reasoning),NVIDIA,49.0,49.0,128,7.36,NVIDIA Open Model License Agreement,,False,True,,,-46.18
K2-V2 (low),MBZUAI Institute of Foundation Models,70.0,70.0,512,7.31,Apache 2.0,reasoning,False,True,,,-47.28
Kimi Linear 48B A3B Instruct,Kimi,49.1,3.0,1000,7.3,MIT,,True,True,,,
Llama 3.1 Instruct 405B,Meta,405.0,405.0,128,7.29,LLAMA 3.1 COMMUNITY LICENSE AGREEMENT,,False,True,,,-17.1
LFM2.5-8B-A1B,Liquid AI,8.3,1.5,33,7.22,lfm 1.0,reasoning,True,True,,,-33.2
Ring-flash-2.0,InclusionAI,103.0,6.1,128,7.15,MIT,reasoning,True,True,,,-58.62
Olmo 3.1 32B Think,Allen Institute for AI,32.2,32.2,66,7.12,Apache 2.0,reasoning,False,True,,,-43.37
Command A,Cohere,111.0,111.0,256,6.96,CC-BY-NC 4.0 License with Acceptable Use Addendum,,False,True,,,-48.27
Llama 3.1 Nemotron Instruct 70B,NVIDIA,70.0,70.0,128,6.94,LLAMA 3.1 COMMUNITY LICENSE AGREEMENT,,False,True,,,-40.83
Qwen3.5 2B (Reasoning),Alibaba,2.27,2.27,262,6.94,Apache 2.0,"vision,reasoning",False,True,2.92,,-60.18
NVIDIA Nemotron 3 Nano 30B A3B (Non-reasoning),NVIDIA,31.6,3.6,1000,6.85,Nvidia Nemotron Open Model License,,True,True,,,-69.3
NVIDIA Nemotron Nano 9B V2 (Non-reasoning),NVIDIA,9.0,9.0,131,6.84,NVIDIA Open Model License Agreement,,False,True,,,-57.25
Hermes 4 - Llama-3.1 70B (Non-reasoning),Nous Research,70.6,70.6,128,6.66,META LLAMA 3 COMMUNITY LICENSE AGREEMENT,,False,True,,,-48.58
Granite 4.1 8B,IBM,8.0,8.0,131,6.57,Apache 2.0,,False,True,9.5,,-64.12
Sarvam 30B (high),Sarvam,32.2,2.4,66,6.56,Apache 2.0,reasoning,True,True,,,-71.52
Olmo 3.1 32B Instruct,Allen Institute for AI,32.2,32.2,66,6.5,Apache 2.0,,False,True,,,-52.37
Gemma 4 E2B (Non-reasoning),Google,5.1,2.3,128,6.48,Apache 2.0,"vision,audio",True,True,,,-60.18
Llama 4 Scout,Meta,109.0,17.0,10000,6.45,LLAMA 4 COMMUNITY LICENSE AGREEMENT,vision,True,False,8.17,0.55,-52.15
R1 1776,Perplexity,671.0,37.0,128,6.44,MIT,reasoning,True,True,,,
Llama 3.2 Instruct 90B (Vision),Meta,90.0,90.0,128,6.41,LLAMA 3.2 COMMUNITY LICENSE AGREEMENT,vision,False,True,,,
Phi-4 Mini Instruct,Microsoft,3.84,3.84,128,6.33,MIT,,False,True,3.84,,-61.08
EXAONE 4.0 32B (Non-reasoning),LG AI Research,32.0,32.0,131,6.33,EXAONE AI Model License Agreement 1.2 - NC,,False,True,,,-62.77
Qwen3.5 2B (Non-reasoning),Alibaba,2.27,2.27,262,6.19,Apache 2.0,vision,False,True,2.39,,-83.13
Qwen3.5 0.8B (Reasoning),Alibaba,0.873,0.873,262,6.13,Apache 2.0,"vision,reasoning",False,True,0.0,,-54.52
Jamba 1.7 Large,AI21 Labs,398.0,94.0,256,6.07,Jamba Open Model License Agreement,,True,True,,,-54.92
DeepHermes 3 - Mistral 24B Preview (Non-reasoning),Nous Research,24.0,24.0,32,6.07,Apache 2.0,,False,True,,,
Granite 4.0 H Small,IBM,32.0,9.0,128,6.05,Apache 2.0,,True,True,,,-61.02
Ministral 3 14B,Mistral,14.0,14.0,256,6.04,Apache 2.0,vision,False,False,14.36,1.1,-66.37
Qwen3 Omni 30B A3B Instruct,Alibaba,35.3,3.0,66,6.01,Apache 2.0,"vision,audio",True,True,,,-69.27
LFM2 24B A2B,Liquid AI,23.8,2.3,33,5.95,lfm 1.0,,True,True,,,-58.1
Phi-4,Microsoft,14.0,14.0,16,5.92,MIT,,False,True,,,-55.7
Granite 4.1 3B,IBM,3.0,3.0,131,5.86,Apache 2.0,,False,True,4.72,,-77.03
NVIDIA Nemotron Nano 12B v2 VL (Non-reasoning),NVIDIA,13.2,13.2,128,5.82,Nvidia Open Model License,vision,False,True,,,-72.23
Phi-4 Multimodal Instruct,Microsoft,5.6,5.6,128,5.81,MIT,"vision,audio",False,True,,,
MiniCPM-V 4.6 1.3B,OpenBMB,1.3,1.3,262,5.69,Apache 2.0,vision,False,True,0.69,,-82.87
Jamba Reasoning 3B,AI21 Labs,3.0,3.0,262,5.67,Apache 2.0,reasoning,False,True,,,-57.72
Reka Flash 3,Reka AI,21.0,21.0,128,5.65,Apache 2.0,reasoning,False,True,,,-65.13
Olmo 3 7B Think,Allen Institute for AI,7.0,7.0,66,5.62,Apache 2.0,reasoning,False,True,,,-71.8
Molmo 7B-D,Allen Institute for AI,8.02,8.02,4,5.56,Apache 2.0,vision,False,True,,,
Ministral 3 8B,Mistral,8.0,8.0,256,5.48,Apache 2.0,vision,False,False,9.69,0.62,-68.95
Llama 3.2 Instruct 11B (Vision),Meta,11.0,11.0,128,5.41,LLAMA 3.2 COMMUNITY LICENSE AGREEMENT,vision,False,True,,,-62.6
Qwen3.5 0.8B (Non-reasoning),Alibaba,0.873,0.873,262,5.4,Apache 2.0,vision,False,True,1.21,,-88.58
Exaone 4.0 1.2B (Reasoning),LG AI Research,1.28,1.28,64,5.27,EXAONE AI Model License Agreement 1.2 - NC,reasoning,False,True,,,-79.82
Olmo 3 7B Instruct,Allen Institute for AI,7.0,7.0,66,5.24,Apache 2.0,,False,True,,,-77.07
Exaone 4.0 1.2B (Non-reasoning),LG AI Research,1.28,1.28,64,5.23,EXAONE AI Model License Agreement 1.2 - NC,,False,True,,,-82.15
Jamba 1.7 Mini,AI21 Labs,52.0,12.0,258,5.22,Jamba Open Model License Agreement,,True,True,,,-73.12
LFM2.5-1.2B-Thinking,Liquid AI,1.17,1.17,32,5.22,lfm 1.0,reasoning,False,True,,,-79.95
LFM2 2.6B,Liquid AI,2.57,2.57,33,5.21,lfm 1.0,,False,True,,,-54.07
LFM2.5-1.2B-Instruct,Liquid AI,1.17,1.17,32,5.21,lfm 1.0,,False,True,,,-72.1
Granite 4.0 H 1B,IBM,1.5,1.5,128,5.19,Apache 2.0,,False,True,,,-72.27
Gemma 3 270M,Google,0.268,0.268,32,5.12,Gemma license,,False,True,,,-29.27
Granite 4.0 Micro,IBM,3.0,3.0,128,5.11,Apache 2.0,,False,True,,,-77.53
Apertus 70B Instruct,Swiss AI Initiative,70.0,70.0,66,5.11,Apache 2.0,,False,True,,,-61.55
DeepHermes 3 - Llama-3.1 8B Preview (Non-reasoning),Nous Research,8.0,8.0,128,5.08,LLAMA 3.1 COMMUNITY LICENSE AGREEMENT,,False,True,,,
Granite 4.0 1B,IBM,1.6,1.6,128,5.01,Apache 2.0,,False,True,,,-81.62
Molmo2-8B,Allen Institute for AI,8.66,8.66,37,5.0,Apache 2.0,vision,False,True,,,-69.22
LFM2 8B A1B,Liquid AI,8.34,1.5,33,4.93,lfm 1.0,,True,True,,,-76.5
Ministral 3 3B,Mistral,3.0,3.0,256,4.84,Apache 2.0,vision,False,False,4.78,0.79,-64.0
Granite 4.0 H 350M,IBM,0.34,0.34,33,4.83,Apache 2.0,,False,True,,,-80.92
Tiny Aya Global,Cohere,3.35,3.35,8,4.83,Cc By Nc 4.0,,False,True,,,-84.3
Apertus 8B Instruct,Swiss AI Initiative,8.0,8.0,66,4.83,Apache 2.0,,False,True,,,-77.22
Granite 4.0 350M,IBM,0.35,0.35,33,4.83,Apache 2.0,,False,True,,,-69.35
LFM2.5-VL-1.6B,Liquid AI,1.6,1.6,32,4.83,lfm 1.0,vision,False,True,,,-84.42
